db_category,filename,derived_slug,variant,status,matched_slug,matched_phenomenon,group_image_count,source,license_label,note
consciousness_practices,Consciousness_Practices_dream_visitation.png,dream-visitation,,matched,dream-visitation,Dream Visitation,1,CoPilot,Editorial,not in sheet
consciousness_practices,consciousness_practices_breathwork.jpg,breathwork,,matched,breathwork,Breathwork,1,Wikimedia,CC BY-SA,not in sheet
consciousness_practices,consciousness_practices_dream_yoga2.jpg,dream-yoga,2,matched,dream-yoga,Dream Yoga,1,Pexels,Editorial,not in sheet
consciousness_practices,consciousness_practices_eye_gazing2.jpg,eye-gazing,2,matched,eye-gazing,Eye Gazing,1,Pexels,Editorial,not in sheet
consciousness_practices,consciousness_practices_samadhi.jpg,samadhi,,matched,samadhi,Samadhi,1,Wikimedia,CC BY-SA,not in sheet
cryptids,cryptids_Kongamato.png,kongamato,,matched,kongamato,Kongamato,1,CoPilot,Editorial,not in sheet
cryptids,cryptids_Mokele‑mbembe.png,mokele-mbembe,,matched,mokele-mbembe,Mokele-mbembe,1,CoPilot,Editorial,not in sheet
cryptids,cryptids_Ogopogo.png,ogopogo,,matched,ogopogo,Ogopogo,1,CoPilot,Editorial,not in sheet
cryptids,cryptids_adze.png,adze,,matched,adze,Adze,1,CoPilot,Editorial,not in sheet
cryptids,cryptids_agropelter.png,agropelter,,matched,agropelter,Agropelter,1,CoPilot,Editorial,not in sheet
cryptids,cryptids_batsquatch.png,batsquatch,,matched,batsquatch,Batsquatch,1,CoPilot,Editorial,not in sheet
cryptids,cryptids_champ.png,champ,,matched,champ,Champ,1,CoPilot,Editorial,not in sheet
cryptids,cryptids_dover_demon.png,dover-demon,,matched,dover-demon,Dover Demon,1,CoPilot,Editorial,not in sheet
cryptids,cryptids_goatman.jpg,goatman,,matched,goatman,Goatman,1,Wikimedia,CC BY-SA,not in sheet
cryptids,cryptids_lizard_man_of_scape_ore_swamp.png,lizard-man-of-scape-ore-swamp,,matched,lizard-man-of-scape-ore-swamp,Lizard Man of Scape Ore Swamp,1,CoPilot,Editorial,not in sheet
cryptids,cryptids_loch_ness_monster.png,loch-ness-monster,,matched,loch-ness-monster,Loch Ness Monster,1,CoPilot,Editorial,not in sheet
cryptids,cryptids_metoh-kangmi.jpg,metoh-kangmi,,matched,metoh-kangmi,Metoh-kangmi,1,Picryl,Public domain,not in sheet
cryptids,cryptids_ozark_howler.jpg,ozark-howler,,matched,ozark-howler,Ozark Howler,1,Wikimedia,CC BY-SA,not in sheet
cryptids,cryptids_pukwudgie.png,pukwudgie,,matched,pukwudgie,Pukwudgie,1,CoPilot,Editorial,not in sheet
ghosts_hauntings,ghosts_and_hauntings_Tsurube_Otoshi.png,tsurube-otoshi,,matched,tsurube-otoshi,Tsurube Otoshi,1,CoPilot,Editorial,not in sheet
ghosts_hauntings,ghosts_hauntings_abiku.jpg,abiku,,matched,abiku,Abiku,1,Pexels,Editorial,not in sheet
ghosts_hauntings,ghosts_hauntings_battlefield_ghost.jpg,battlefield-ghost,,matched,battlefield-ghost,Battlefield Ghost,1,Wikimedia,CC BY-SA,not in sheet
ghosts_hauntings,ghosts_hauntings_dullahan.jpg,dullahan,,matched,dullahan,Dullahan,1,Wikimedia,CC BY-SA,not in sheet
ghosts_hauntings,ghosts_hauntings_gashadokuro.jpg,gashadokuro,,matched,gashadokuro,Gashadokuro,1,Wikimedia,CC BY-SA,not in sheet
ghosts_hauntings,ghosts_hauntings_ghost_ship.jpg,ghost-ship,,matched,phantom-ship,Phantom Ship,1,Pexels,Editorial,not in sheet
ghosts_hauntings,ghosts_hauntings_haunted_doll.jpg,haunted-doll,,matched,haunted-doll,Haunted Doll,1,Wikimedia,CC BY-SA,not in sheet
ghosts_hauntings,ghosts_hauntings_headless_ghost.jpg,headless-ghost,,matched,headless-ghost,Headless Ghost,1,Wikimedia,CC BY-SA,not in sheet
ghosts_hauntings,ghosts_hauntings_inugami.jpg,inugami,,matched,inugami,Inugami,1,Wikimedia,CC BY-SA,not in sheet
ghosts_hauntings,ghosts_hauntings_lougarou.jpg,lougarou,,matched,lougarou,Lougarou,1,Wikimedia,CC BY-SA,not in sheet
ghosts_hauntings,ghosts_hauntings_loup_garou.jpg,loup-garou,,matched,loup-garou,Loup-garou,1,Wikimedia,CC BY-SA,not in sheet
ghosts_hauntings,ghosts_hauntings_mimicking_spirit.jpg,mimicking-spirit,,matched,mimicking-spirit,Mimicking Spirit,1,Pexels,Editorial,not in sheet
ghosts_hauntings,ghosts_hauntings_nejomata.jpg,nejomata,,matched,nekomata,Nekomata,,Wikimedia,CC BY-SA,fuzzy d=1; not in sheet
ghosts_hauntings,ghosts_hauntings_noppera_bo2.jpg,noppera-bo,2,matched,noppera-bo,Noppera-bo,1,Wikimedia,CC BY-SA,not in sheet
ghosts_hauntings,ghosts_hauntings_obayifo2.jpg,obayifo,2,matched,obayifo,Obayifo,1,Pexels,Editorial,not in sheet
ghosts_hauntings,ghosts_hauntings_old_hag_syndrome.jpg,old-hag-syndrome,,matched,old-hag-syndrome,Old Hag Syndrome,1,Wikimedia,CC BY-SA,not in sheet
ghosts_hauntings,ghosts_hauntings_onryo.jpg,onryo,,matched,onryo,Onryo,1,Wikimedia,CC BY-SA,not in sheet
ghosts_hauntings,ghosts_hauntings_orbs.jpg,orbs,,matched,orbs,Orbs,1,Wikimedia,CC BY-SA,not in sheet
ghosts_hauntings,ghosts_hauntings_pontianak.jpg,pontianak,,matched,pontianak,Pontianak,1,Pexels,Editorial,not in sheet
ghosts_hauntings,ghosts_hauntings_portal_haunting.jpg,portal-haunting,,matched,portal-haunting,Portal Haunting,1,Pexels,Editorial,not in sheet
ghosts_hauntings,ghosts_hauntings_residual_haunting.jpg,residual-haunting,,matched,residual-haunting,Residual Haunting,1,Pexels,Editorial,not in sheet
ghosts_hauntings,ghosts_hauntings_rokurokubi.jpg,rokurokubi,,matched,rokurokubi,Rokurokubi,1,Wikimedia,CC BY-SA,not in sheet
ghosts_hauntings,ghosts_hauntings_trance_medium_communication.jpg,trance-medium-communication,,matched,trance-mediumship,Trance Medium Communication,1,Wikimedia,CC BY-SA,not in sheet
ghosts_hauntings,ghosts_hauntings_trapped_spirit.jpg,trapped-spirit,,matched,trapped-spirit,Trapped Spirit,1,Pexels,Editorial,not in sheet
ghosts_hauntings,ghosts_hauntings_ubume.jpg,ubume,,matched,ubume,Ubume,1,Wikimedia,CC BY-SA,not in sheet
ghosts_hauntings,ghosts_hauntings_vengeful_spirit.jpg,vengeful-spirit,,matched,vengeful-spirit,Vengeful Spirit,1,Wikimedia,CC BY-SA,not in sheet
ghosts_hauntings,ghosts_hauntings_visitor_spirit.jpg,visitor-spirit,,matched,visitor-spirit,Visitor Spirit,1,Wikimedia,CC BY-SA,not in sheet
ghosts_hauntings,ghosts_hauntings_will_o__the_wisp.jpg,will-o-the-wisp,,matched,will-o-the-wisp,Will-o'-the-Wisp,1,Wikimedia,CC BY-SA,not in sheet
